checkpoint,step,direction,control,task,num_examples,num_prompt_clusters,mean,row_ci_low,row_ci_high,cluster_ci_low,cluster_ci_high
step_005000,5000,original_to_original,opposite-number-shuffled,object_relative,304,299,0.0012673829731188323,-0.00031892720021699597,0.0028895781620552658,-0.0002989419770371067,0.0028490450290434306
step_005000,5000,clone_to_clone,opposite-number,object_relative,304,299,0.01671384588668221,0.015071009883755131,0.018385401289714012,0.01500927012331937,0.01842981005961599
step_005000,5000,clone_to_clone,opposite-number-shuffled,object_relative,304,299,0.014832654281666404,0.010096056661323497,0.019535351544618607,0.010162732215643455,0.019368788326856592
step_005000,5000,original_to_clone,opposite-number,object_relative,304,299,-0.0010608003327721043,-0.0016250400558898324,-0.0004956566777668502,-0.0016166809856808608,-0.0005093360641545966
step_005000,5000,original_to_clone,opposite-number-shuffled,object_relative,304,299,-0.0009801340730566728,-0.0028319100408177628,0.0009039675130655887,-0.0028356162230243,0.0008971555180031228
step_005000,5000,clone_to_original,opposite-number,object_relative,304,299,0.003764448981536062,0.0028542614296862955,0.004714435064478924,0.0028219859491605934,0.004699346099745728
step_005000,5000,clone_to_original,opposite-number-shuffled,object_relative,304,299,0.005777263327648765,0.0038722041013993713,0.007716469231404756,0.0038727853240231487,0.007671312565024865
step_015000,15000,original_to_original,opposite-number,object_relative,304,299,0.0023471744436966745,0.0013823110414178748,0.0033141391449852983,0.0013571156920379537,0.003336649347122537
step_015000,15000,original_to_original,opposite-number-shuffled,object_relative,304,299,0.0021676860357585704,-0.0009249908751563021,0.005210017648182417,-0.0008206541752102367,0.005206191940613026
step_015000,15000,clone_to_clone,opposite-number,object_relative,304,299,0.3265117124507302,0.3086132484831308,0.3450910451772966,0.3083092454681936,0.34526411904158305
step_015000,15000,clone_to_clone,opposite-number-shuffled,object_relative,304,299,0.34162034643323796,0.31530697247699685,0.3687177874540028,0.31434412218589924,0.36888157436279595
step_015000,15000,original_to_clone,opposite-number,object_relative,304,299,-0.0010191547243218672,-0.0018958295646466705,-0.00015684558372748607,-0.0019157240718444852,-0.00014397379019440493
step_015000,15000,original_to_clone,opposite-number-shuffled,object_relative,304,299,-6.01050100828472e-05,-0.0033534133512722816,0.003235262632369995,-0.0032692417956659606,0.0032282702232661964
step_015000,15000,clone_to_original,opposite-number,object_relative,304,299,0.04741887042396947,0.03969912772115908,0.055173577995676744,0.039807346652457984,0.05512855504705606
step_015000,15000,clone_to_original,opposite-number-shuffled,object_relative,304,299,0.0528615885659268,0.042867923331888096,0.06297608033606882,0.042897963125467856,0.06273451370258266
step_030000,30000,original_to_original,opposite-number,object_relative,304,299,0.17814561254099795,0.16816119206579108,0.18854893049911448,0.1679755551224388,0.18862677770996142
step_030000,30000,original_to_original,opposite-number-shuffled,object_relative,304,299,0.17777648411299052,0.16554908289721137,0.19031248810259918,0.16533098138658459,0.19043865456174322
step_030000,30000,clone_to_clone,opposite-number,object_relative,304,299,0.32178015614810745,0.3057473064253205,0.338103573769331,0.305544528757271,0.3388948437806807
step_030000,30000,clone_to_clone,opposite-number-shuffled,object_relative,304,299,0.3281753941586143,0.307798869437293,0.3495578512157264,0.3070536305031023,0.3498851695753145
step_030000,30000,original_to_clone,opposite-number,object_relative,304,299,0.03169626781814977,0.02809533782695469,0.03535325966383282,0.028015222105112945,0.03534756765082007
step_030000,30000,original_to_clone,opposite-number-shuffled,object_relative,304,299,0.0343393652062667,0.028521215052981125,0.04020234115029636,0.028500636722194862,0.0402825119511774
step_030000,30000,clone_to_original,opposite-number,object_relative,304,299,0.12654678915676318,0.11837306716724447,0.13488945290446283,0.11827249015376182,0.1349468104211997
step_030000,30000,clone_to_original,opposite-number-shuffled,object_relative,304,299,0.13416002141801933,0.12281506587015956,0.1456230237295753,0.12250298012494912,0.14569374501140162
step_050000,50000,original_to_original,opposite-number,object_relative,304,299,0.42695574383986623,0.40208083065716843,0.4532787782973365,0.4011740976390023,0.45427473346175173
step_050000,50000,original_to_original,opposite-number-shuffled,object_relative,304,299,0.4233933091163635,0.400754632565536,0.44692045932537633,0.40013825474124326,0.44686318201206854
step_050000,50000,clone_to_clone,opposite-number,object_relative,304,299,0.3730699514087878,0.355191954107661,0.39194752895518353,0.3552258602774285,0.3916296315271862
step_050000,50000,clone_to_clone,opposite-number-shuffled,object_relative,304,299,0.38075520019782216,0.35893869121607985,0.4034757610214384,0.3589951034452094,0.4031620489312457
step_050000,50000,original_to_clone,opposite-number,object_relative,304,299,0.026299101741690385,0.01619678198506958,0.03642229677030915,0.016220849555059775,0.036579213464320075
