checkpoint,step,direction,layer,head,mean
step_015000,15000,clone_to_original,2,5,0.00047814684945183834
step_015000,15000,clone_to_original,2,6,0.0005186973391352473
step_015000,15000,clone_to_original,2,7,0.0009067525734772553
step_015000,15000,clone_to_original,3,0,-0.0015520099047068004
step_015000,15000,clone_to_original,3,1,-0.000314633051554362
step_015000,15000,clone_to_original,3,2,-0.00039513315166439023
step_015000,15000,clone_to_original,3,3,-0.001592426686673551
step_015000,15000,clone_to_original,3,4,0.0005141389262568844
step_015000,15000,clone_to_original,3,5,0.0008416095295467892
step_015000,15000,clone_to_original,3,6,0.00025933927243894286
step_015000,15000,clone_to_original,3,7,-0.001261829255937456
step_015000,15000,clone_to_original,4,0,0.00040027901932999894
step_015000,15000,clone_to_original,4,1,0.0039368030187245965
step_015000,15000,clone_to_original,4,2,-0.0011239851917232478
step_015000,15000,clone_to_original,4,3,0.0008150741860673234
step_015000,15000,clone_to_original,4,4,-0.0008629044970950565
step_015000,15000,clone_to_original,4,5,0.0007930859789118036
step_015000,15000,clone_to_original,4,6,0.0011406395886395429
step_015000,15000,clone_to_original,4,7,-0.001550948834634042
step_015000,15000,clone_to_original,5,0,0.0007062226802379162
step_015000,15000,clone_to_original,5,1,-0.003514079897253363
step_015000,15000,clone_to_original,5,2,0.0027710124179049656
step_015000,15000,clone_to_original,5,3,0.004040589203705659
step_015000,15000,clone_to_original,5,4,-0.004152476787567139
step_015000,15000,clone_to_original,5,5,-0.002072300996866312
step_015000,15000,clone_to_original,5,6,-0.0040460975320489555
step_015000,15000,clone_to_original,5,7,0.0002099774979256295
step_015000,15000,clone_to_original,6,0,0.00021993523245459205
step_015000,15000,clone_to_original,6,1,-0.003532613719905819
step_015000,15000,clone_to_original,6,2,-0.0021029721509228955
step_015000,15000,clone_to_original,6,3,-0.001995987183338887
step_015000,15000,clone_to_original,6,4,-0.00030633189656712986
step_015000,15000,clone_to_original,6,5,0.005380764200880721
step_015000,15000,clone_to_original,6,6,0.0017736205109604845
step_015000,15000,clone_to_original,6,7,0.005878427544155637
step_015000,15000,clone_to_original,7,0,0.002292397859934214
step_015000,15000,clone_to_original,7,1,-0.009026898994102134
step_015000,15000,clone_to_original,7,2,-0.0029328132534886266
step_015000,15000,clone_to_original,7,3,-0.004886498322358003
step_015000,15000,clone_to_original,7,4,0.0025605634526089504
step_015000,15000,clone_to_original,7,5,0.001236416735090651
step_015000,15000,clone_to_original,7,6,-0.0026121144896155005
step_015000,15000,clone_to_original,7,7,-0.005666900862444629
step_015000,15000,clone_to_original,8,0,0.0032164164491601892
step_015000,15000,clone_to_original,8,1,0.0002487221279659787
step_015000,15000,clone_to_original,8,2,-0.005074121930577734
step_015000,15000,clone_to_original,8,3,0.04640172945486533
step_015000,15000,clone_to_original,8,4,-0.0013474365612408062
step_015000,15000,clone_to_original,8,5,0.000275493742109419
step_015000,15000,clone_to_original,8,6,-0.0010511483158077205
step_015000,15000,clone_to_original,8,7,-0.0009807520084552936
step_015000,15000,clone_to_original,9,0,-0.0030917095708417465
step_015000,15000,clone_to_original,9,1,-0.0011515977146389247
step_015000,15000,clone_to_original,9,2,-0.009838077399107787
step_015000,15000,clone_to_original,9,3,-0.0068339243665471805
step_015000,15000,clone_to_original,9,4,-0.0003632580911791002
step_015000,15000,clone_to_original,9,5,-0.004480474704020732
step_015000,15000,clone_to_original,9,6,0.006513546179006765
step_015000,15000,clone_to_original,9,7,-0.001612534931114128
step_015000,15000,clone_to_original,10,0,-0.0031660295821524954
step_015000,15000,clone_to_original,10,1,0.006025358900293574
step_015000,15000,clone_to_original,10,2,0.0009007416329942307
step_015000,15000,clone_to_original,10,3,-0.005291671366304965
