checkpoint,step,direction,control,task,num_examples,mean_delta_ld
step_065000,65000,clone_to_original,opposite-number-shuffled,pp_attractor,296,0.2592950608279254
best,77500,original_to_original,clean,pp_attractor,296,0.703959229830149
best,77500,original_to_original,opposite-number,pp_attractor,296,-3.898465955579603e-07
best,77500,original_to_original,same-number-shuffled,pp_attractor,296,0.677937267599879
best,77500,original_to_original,opposite-number-shuffled,pp_attractor,296,-0.010297090620607944
best,77500,clone_to_clone,clean,pp_attractor,296,0.5926855013177201
best,77500,clone_to_clone,opposite-number,pp_attractor,296,3.1252165098448056e-07
best,77500,clone_to_clone,same-number-shuffled,pp_attractor,296,0.5732555711591566
best,77500,clone_to_clone,opposite-number-shuffled,pp_attractor,296,0.017346916971979914
best,77500,original_to_clone,clean,pp_attractor,296,0.34620967426815547
best,77500,original_to_clone,opposite-number,pp_attractor,296,0.252937329782022
best,77500,original_to_clone,same-number-shuffled,pp_attractor,296,0.34695894009358175
best,77500,original_to_clone,opposite-number-shuffled,pp_attractor,296,0.25449982204952754
best,77500,clone_to_original,clean,pp_attractor,296,0.454075537823342
best,77500,clone_to_original,opposite-number,pp_attractor,296,0.21357911664086418
best,77500,clone_to_original,same-number-shuffled,pp_attractor,296,0.4471657856090649
best,77500,clone_to_original,opposite-number-shuffled,pp_attractor,296,0.2183568252099527
step_005000,5000,original_to_original,clean,object_relative,304,0.0013442180658641615
step_005000,5000,original_to_original,opposite-number,object_relative,304,4.705629850688733e-09
step_005000,5000,original_to_original,same-number-shuffled,object_relative,304,0.0007848425915366725
step_005000,5000,original_to_original,opposite-number-shuffled,object_relative,304,7.68350927453292e-05
step_005000,5000,clone_to_clone,clean,object_relative,304,0.016713823927076238
step_005000,5000,clone_to_clone,opposite-number,object_relative,304,-2.1959605969880755e-08
step_005000,5000,clone_to_clone,same-number-shuffled,object_relative,304,0.016478627135879116
step_005000,5000,clone_to_clone,opposite-number-shuffled,object_relative,304,0.001881169645409835
step_005000,5000,original_to_clone,clean,object_relative,304,0.008269411168600383
